Total Words are: 4331
----------------------------------------------
Word            	Freq.	Probability
mercy           	5	0.0011544678
guild           	5	0.0011544678
historical      	5	0.0011544678
m               	5	0.0011544678
earth           	5	0.0011544678
yet             	5	0.0011544678
character       	5	0.0011544678
much            	5	0.0011544678
play            	5	0.0011544678
kit             	5	0.0011544678
appeared        	5	0.0011544678
belfast         	5	0.0011544678
casting         	5	0.0011544678
59              	5	0.0011544678
crown           	5	0.0011544678
jennifer        	5	0.0011544678
crows           	5	0.0011544678
marketing       	5	0.0011544678
magazine        	5	0.0011544678
emilia          	5	0.0011544678
tyrell          	5	0.0011544678
fort            	5	0.0011544678
tim             	5	0.0011544678
praised         	5	0.0011544678
1994            	5	0.0011544678
did             	5	0.0011544678
p               	5	0.0011544678
my              	5	0.0011544678
love            	5	0.0011544678
blackwater      	5	0.0011544678
economy         	5	0.0011544678
southern        	5	0.0011544678
outline         	5	0.0011544678
en              	5	0.0011544678
canada          	5	0.0011544678
indicating      	5	0.0011544678
org             	5	0.0011544678
frequent        	5	0.0011544678
designer        	5	0.0011544678
white           	5	0.0011544678
broadcast       	5	0.0011544678
any             	5	0.0011544678
going           	5	0.0011544678
nearly          	5	0.0011544678
64              	5	0.0011544678
former          	5	0.0011544678
among           	5	0.0011544678
being           	5	0.0011544678
death           	5	0.0011544678
making          	5	0.0011544678
2010s           	5	0.0011544678
critical        	5	0.0011544678
seconds         	5	0.0011544678
tywin           	5	0.0011544678
illegal         	5	0.0011544678
bolton          	5	0.0011544678
minister        	5	0.0011544678
returned        	5	0.0011544678
sons            	5	0.0011544678
inspired        	5	0.0011544678
published       	5	0.0011544678
actress         	5	0.0011544678
coming          	5	0.0011544678
team            	5	0.0011544678
house           	5	0.0011544678
members         	5	0.0011544678
major           	5	0.0011544678
done            	5	0.0011544678
creators        	5	0.0011544678
popularity      	5	0.0011544678
international   	5	0.0011544678
merchandise     	5	0.0011544678
croatia         	5	0.0011544678
art             	5	0.0011544678
culture         	5	0.0011544678
arc             	5	0.0011544678
headey          	5	0.0011544678
guide           	5	0.0011544678
development     	5	0.0011544678
often           	5	0.0011544678
long            	5	0.0011544678
uk              	5	0.0011544678
torture         	5	0.0011544678
34              	5	0.0011544678
composer        	5	0.0011544678
renewed         	5	0.0011544678
material        	5	0.0011544678
countries       	5	0.0011544678
feast           	5	0.0011544678
map             	5	0.0011544678
armor           	5	0.0011544678
accent          	5	0.0011544678
lion            	5	0.0011544678
exclusive       	5	0.0011544678
viewer          	5	0.0011544678
wins            	5	0.0011544678
available       	5	0.0011544678
kings           	5	0.0011544678
off             	5	0.0011544678
executive       	5	0.0011544678
home            	5	0.0011544678
medieval        	5	0.0011544678
angeles         	5	0.0011544678
female          	5	0.0011544678
44              	5	0.0011544678
extras          	5	0.0011544678
red             	4	0.0009235742
blue            	4	0.0009235742
huffington      	4	0.0009235742
castamere       	4	0.0009235742
94              	4	0.0009235742
1993            	4	0.0009235742
1997            	4	0.0009235742
example         	4	0.0009235742
cited           	4	0.0009235742
keep            	4	0.0009235742
valar           	4	0.0009235742
turn            	4	0.0009235742
castle          	4	0.0009235742
fictional       	4	0.0009235742
order           	4	0.0009235742
skins           	4	0.0009235742
harington       	4	0.0009235742
daniel          	4	0.0009235742
free            	4	0.0009235742
thronecast      	4	0.0009235742
girls           	4	0.0009235742
tom             	4	0.0009235742
palace          	4	0.0009235742
fandom          	4	0.0009235742
realm           	4	0.0009235742
maiden          	4	0.0009235742
saying          	4	0.0009235742
availability    	4	0.0009235742
de              	4	0.0009235742
criticized      	4	0.0009235742
00              	4	0.0009235742
rings           	4	0.0009235742
loader          	4	0.0009235742
speak           	4	0.0009235742
homeland        	4	0.0009235742
dave            	4	0.0009235742
containing      	4	0.0009235742
potentially     	4	0.0009235742
european        	4	0.0009235742
just            	4	0.0009235742
gave            	4	0.0009235742
joanna          	4	0.0009235742
possible        	4	0.0009235742
bastards        	4	0.0009235742
essos           	4	0.0009235742
words           	4	0.0009235742
old             	4	0.0009235742
michelle        	4	0.0009235742
feet            	4	0.0009235742
reception       	4	0.0009235742
1992            	4	0.0009235742
orr             	4	0.0009235742
porn            	4	0.0009235742
catelyn         	4	0.0009235742
appear          	4	0.0009235742
makeup          	4	0.0009235742
downloaded      	4	0.0009235742
uls             	4	0.0009235742
can             	4	0.0009235742
figure          	4	0.0009235742
robinson        	4	0.0009235742
max             	4	0.0009235742
st              	4	0.0009235742
years           	4	0.0009235742
battlestar      	4	0.0009235742
tribune         	4	0.0009235742
itzkoff         	4	0.0009235742
soundtrack      	4	0.0009235742
kingdoms        	4	0.0009235742
americans       	4	0.0009235742
impossible      	4	0.0009235742
short           	4	0.0009235742
malta           	4	0.0009235742
begin           	4	0.0009235742
paid            	4	0.0009235742
walking         	4	0.0009235742
brienne         	4	0.0009235742
prime           	4	0.0009235742
morning         	4	0.0009235742
weapons         	4	0.0009235742
across          	4	0.0009235742
dated           	4	0.0009235742
63              	4	0.0009235742
66              	4	0.0009235742
mary            	4	0.0009235742
500             	4	0.0009235742
stephen         	4	0.0009235742
those           	4	0.0009235742
author          	4	0.0009235742
events          	4	0.0009235742
noble           	4	0.0009235742
20715044        	4	0.0009235742
identifiers     	4	0.0009235742
setting         	4	0.0009235742
unsourced       	4	0.0009235742
62              	4	0.0009235742
stone           	4	0.0009235742
lands           	4	0.0009235742
rolling         	4	0.0009235742
there           	4	0.0009235742
taylor          	4	0.0009235742
file            	4	0.0009235742
drafts          	4	0.0009235742
includes        	4	0.0009235742
wife            	4	0.0009235742
directors       	4	0.0009235742
presentation    	4	0.0009235742
large           	4	0.0009235742
harry           	4	0.0009235742
edited          	4	0.0009235742
hours           	4	0.0009235742
options         	4	0.0009235742
khal            	4	0.0009235742
2097152         	4	0.0009235742
homicide        	4	0.0009235742
ensemble        	4	0.0009235742
response        	4	0.0009235742
through         	4	0.0009235742
late            	4	0.0009235742
chicago         	4	0.0009235742
blues           	4	0.0009235742
beginning       	4	0.0009235742
success         	4	0.0009235742
mr              	4	0.0009235742
behind          	4	0.0009235742
scotland        	4	0.0009235742
77              	4	0.0009235742
bookings        	4	0.0009235742
miller          	4	0.0009235742
obama           	4	0.0009235742
latin           	4	0.0009235742
both            	4	0.0009235742
foreign         	4	0.0009235742
whole           	4	0.0009235742
expensive       	4	0.0009235742
political       	4	0.0009235742
33              	4	0.0009235742
kingdom         	4	0.0009235742
day             	4	0.0009235742
composed        	4	0.0009235742
questions       	4	0.0009235742
source          	4	0.0009235742
exhibition      	4	0.0009235742
format          	4	0.0009235742
joffrey         	4	0.0009235742
72              	4	0.0009235742
morocco         	4	0.0009235742
called          	4	0.0009235742
rains           	4	0.0009235742
lena            	4	0.0009235742
gross           	4	0.0009235742
age             	4	0.0009235742
go              	4	0.0009235742
young           	4	0.0009235742
dorne           	4	0.0009235742
noted           	4	0.0009235742
showcase        	4	0.0009235742
38              	4	0.0009235742
37              	4	0.0009235742
35              	4	0.0009235742
few             	4	0.0009235742
valyrian        	4	0.0009235742
lesley          	4	0.0009235742
winners         	4	0.0009235742
independent     	4	0.0009235742
135             	4	0.0009235742
winning         	4	0.0009235742
winterfell      	4	0.0009235742
82              	4	0.0009235742
80              	4	0.0009235742
announced       	4	0.0009235742
man             	4	0.0009235742
individual      	4	0.0009235742
goldberg        	4	0.0009235742
usage           	4	0.0009235742
clash           	4	0.0009235742
hall            	4	0.0009235742
bean            	4	0.0009235742
she             	4	0.0009235742
view            	4	0.0009235742
key             	4	0.0009235742
attributed      	4	0.0009235742
copies          	4	0.0009235742
against         	4	0.0009235742
practice        	4	0.0009235742
effect          	4	0.0009235742
theon           	4	0.0009235742
well            	4	0.0009235742
sky             	4	0.0009235742
because         	4	0.0009235742
does            	4	0.0009235742
highest         	4	0.0009235742
89              	4	0.0009235742
globalcssjs     	4	0.0009235742
galactica       	3	0.0006926807
dynasty         	3	0.0006926807
presents        	3	0.0006926807
worth           	3	0.0006926807
costume         	3	0.0006926807
273             	3	0.0006926807
estimated       	3	0.0006926807
here            	3	0.0006926807
reported        	3	0.0006926807
109             	3	0.0006926807
watchers        	3	0.0006926807
intrigue        	3	0.0006926807
campaign        	3	0.0006926807
wikimedia       	3	0.0006926807
total           	3	0.0006926807
sarah           	3	0.0006926807
nine            	3	0.0006926807
program         	3	0.0006926807
99              	3	0.0006926807
work            	3	0.0006926807
config          	3	0.0006926807
elizabeth       	3	0.0006926807
president       	3	0.0006926807
vfx             	3	0.0006926807
viserys         	3	0.0006926807
defenders       	3	0.0006926807
summer          	3	0.0006926807
slate           	3	0.0006926807
herald          	3	0.0006926807
ygritte         	3	0.0006926807
adapt           	3	0.0006926807
249             	3	0.0006926807
1970s           	3	0.0006926807
primary         	3	0.0006926807
rigg            	3	0.0006926807
another         	3	0.0006926807
guinness        	3	0.0006926807
fiction         	3	0.0006926807
unbroken        	3	0.0006926807
took            	3	0.0006926807
tokens          	3	0.0006926807
project         	3	0.0006926807
acclaim         	3	0.0006926807
clapton         	3	0.0006926807
chris           	3	0.0006926807
christopher     	3	0.0006926807
game_of_thrones 	3	0.0006926807
however         	3	0.0006926807
country         	3	0.0006926807
ill             	3	0.0006926807
china           	3	0.0006926807
adapted         	3	0.0006926807
257             	3	0.0006926807
near            	3	0.0006926807
gnd             	3	0.0006926807
experience      	3	0.0006926807
id              	3	0.0006926807
if              	3	0.0006926807
complex         	3	0.0006926807
split           	3	0.0006926807
social          	3	0.0006926807
evil            	3	0.0006926807
programs        	3	0.0006926807
charlie         	3	0.0006926807
greatest        	3	0.0006926807
human           	3	0.0006926807
anders          	3	0.0006926807
east            	3	0.0006926807
breaks          	3	0.0006926807
cultural        	3	0.0006926807
julia           	3	0.0006926807
depicts         	3	0.0006926807
58              	3	0.0006926807
57              	3	0.0006926807
51              	3	0.0006926807
205             	3	0.0006926807
cnn             	3	0.0006926807
tormund         	3	0.0006926807
down            	3	0.0006926807
sexposition     	3	0.0006926807
greyjoy         	3	0.0006926807
fight           	3	0.0006926807
way             	3	0.0006926807
head            	3	0.0006926807
form            	3	0.0006926807
151             	3	0.0006926807
156             	3	0.0006926807
glacier         	3	0.0006926807
when            	3	0.0006926807
role            	3	0.0006926807
picture         	3	0.0006926807
